Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible
AMADUMBE,480.0,102216.0,11.0,934.0,40.0,5684.0,105.0
APPLES,1737943.0,36227564.0,18432.0,409947.0,231633.0,5335693.0,107976.0
ASPARAGUS,652.0,292723.0,5.0,787.0,25.0,3791.0,18.0
ATCHARA,26.32,972.72,1.0,34.0,1.0,34.0,68.0
AVOCADOS,714141.98,10607224.9,14883.0,170402.0,84846.0,1272993.0,13258.0
BABY BRINJALS,14250.0,94486.0,215.0,1857.0,858.0,7115.0,26.0
BABY BUTTERNUT,32674.0,269814.0,170.0,2433.0,747.0,10538.0,40.0
BABY CABBAGE,32550.0,316564.62,326.0,3492.0,1157.0,11486.0,60.0
BABY CARROTS,53252.0,470231.0,258.0,2366.0,1206.0,10985.0,69.0
BABY ENGLISH CUCUMBER,120.0,49890.0,2.0,1196.0,16.0,9568.0,5.0
BABY GEM SQUASH,8376.0,209646.0,49.0,2299.0,267.0,12366.0,5.0
BABY LEAF,4116.0,27068.0,41.0,250.0,41.0,250.0,0.0
BABY MARROWS,323436.0,3631573.1,2890.0,50836.0,12880.0,230371.0,2260.0
BABY MIX,1152.0,29009.0,10.0,290.0,50.0,1437.0,2.0
BABY SWEET CORN,8772.0,550242.0,43.0,3665.0,167.0,16577.0,33.0
BANANAS,1854063.0,44448109.5,14928.0,371166.0,249982.0,6527976.0,51630.0
BEAN SPROUTS,2944.0,42818.0,51.0,742.0,117.0,1728.0,21.0
BEANS,263383.87,4090094.98,8103.0,136473.0,33360.0,564612.0,3004.0
BEANS INDIAN,2460.0,27011.0,91.0,1042.0,231.0,2766.0,171.0
BEETROOT,425366.0,6736948.73,19965.0,388178.0,156869.0,2960236.0,50593.0
BLACKBERRIES,3360.0,35436.0,14.0,204.0,21.0,306.0,29.0
BOK CHOY PAK-CHOI,1100.0,5920.0,10.0,57.0,50.0,285.0,0.0
BRINJALS,60228.0,669197.44,1040.0,18135.0,4267.0,89141.0,112.0
BROCCOLI,106550.0,4908998.0,764.0,37334.0,2170.0,110578.0,237.0
BROCCOLI FLORETTES,5568.0,41832.0,28.0,338.0,67.0,811.0,0.0
BROCCOLI LEAVES,100.0,23670.0,3.0,591.0,24.0,4728.0,0.0
BRUSSELS SPROUTS,6400.0,40000.0,16.0,100.0,72.0,438.0,0.0
BUTTER LETTUCE,11206.0,103148.0,176.0,1564.0,541.0,4504.0,42.0
BUTTERNUT,482331.0,6781696.0,24886.0,335331.0,189956.0,2882173.0,27736.0
CABBAGE,552863.0,6864321.35,24021.0,350245.0,254551.0,3459269.0,4176.0
CABBAGE RED,78416.0,656606.0,637.0,7129.0,2595.0,34031.0,38.0
CALABASH,2369.0,34972.0,70.0,1017.0,222.0,3317.0,64.0
CARROTS,1819579.5,24420145.3,48127.0,718739.0,354821.0,5582206.0,12914.0
CAULI/BROC,17890.0,420796.0,102.0,2540.0,312.0,9740.0,9.0
CAULIFLOWER,189132.0,3816563.0,1895.0,31487.0,10056.0,168167.0,586.0
CAULIFLOWER FLORETS,0.0,33264.0,0.0,280.0,0.0,672.0,8.0
CELERY,1110.0,26430.0,13.0,327.0,147.0,3834.0,0.0
CHESTNUTS,0.0,0.0,0.0,0.0,0.0,0.0,4.0
CHESTNUTS RAW,200.0,64691.0,4.0,458.0,40.0,4580.0,31.0
CHILLIES,125155.18,2593170.39,5606.0,107538.0,17752.0,339279.0,11529.0
CHILLIES PROCESSED,0.0,27.0,0.0,1.0,0.0,0.0,7.0
CHINESE  VEGETABLES,6594.0,239857.16,614.0,22037.0,828.0,19373.0,701.0
CHIVES,610.0,4777.0,28.0,210.0,3.0,21.0,19.0
CHORIE,160.0,5585.0,4.0,168.0,20.0,840.0,0.0
CLEMENTINES,0.0,0.0,0.0,0.0,0.0,0.0,360.0
COCKTAIL AVOCADO PEAR,100.0,7810.0,2.0,151.0,4.0,302.0,95.0
COCKTAIL TOMATOES,2293.0,73320.5,202.0,2036.0,462.0,6383.0,82.0
COCONUTS,28750.0,292410.0,75.0,766.0,3725.0,36425.0,132.0
CORIANDER/DHANYA,345.0,7209.0,12.0,606.0,44.0,111.0,94.0
CRUSHED GINGER/GARLIC,2860.4,30495.8,13.0,131.0,55.0,625.0,34.0
CUCUMBER,7450.0,88754.0,182.0,2010.0,910.0,10050.0,3.0
CURRY LEAVES,515.0,43510.62,22.0,2011.0,4.0,371.0,11.0
DATES,1144.0,24700.0,2.0,71.0,12.0,722.0,16.0
DHANYA,55110.0,828386.0,484.0,7549.0,1500.0,23327.0,117.0
DILL,901.0,17362.0,25.0,511.0,18.0,412.0,18.0
DRAGON FRUIT,13197.0,286966.0,693.0,8723.0,1127.0,14859.0,3143.0
DRIED FRUIT,0.0,13195.0,0.0,27.0,0.0,278.0,16.0
EDIBLE FLOWERS,580.0,1850.0,29.0,98.0,6.0,20.0,1.0
EMPTY BOXES,4537.5,65161.86,605.0,8241.0,303.0,4121.0,12728.0
ENDIVE/CHICORY,1530.0,19901.54,17.0,240.0,85.0,1200.0,0.0
ENGLISH CUCUMBER,423558.0,10153844.4,5142.0,107290.0,40674.0,832547.0,427.0
FENNEL/ANISE,1790.0,54010.0,18.0,498.0,232.0,6328.0,4.0
FIGS,16418.0,324165.0,320.0,5773.0,869.0,15245.0,847.0
GARLIC,192030.0,3132932.75,1065.0,18288.0,6488.0,111327.0,9651.0
GARLIC PROCESSED,7038.15,132422.47,48.0,720.0,196.0,3321.0,451.0
GEELORA,1985.0,38687.02,92.0,1544.0,276.0,4632.0,243.0
GEM SQUASHES,131139.0,2291635.0,3987.0,73396.0,30421.0,556617.0,1020.0
GHERKINS,6900.0,130758.0,146.0,2799.0,741.0,14922.0,97.0
GINGER PROCESSED,0.0,1636.62,0.0,8.0,0.0,14.0,25.0
GINGER ROOT,170245.0,4746476.0,579.0,14042.0,3394.0,76401.0,3611.0
GOOSEBERRIES,8930.0,173300.0,27.0,665.0,92.0,2696.0,77.0
GOOVAAR,0.0,950.0,0.0,26.0,0.0,78.0,9.0
GRANADILLA,91692.0,558288.55,724.0,6893.0,1870.0,14882.0,167.0
GRAPEFRUIT,465320.0,699490.0,2657.0,4622.0,39855.0,69330.0,1983.0
GRAPES,782660.8,18525361.5,19200.0,359577.0,68263.0,1377522.0,201664.0
GREEN MEALIES,7580.0,114674.0,120.0,1572.0,1554.0,25399.0,55.0
GREEN PEPPERS,699742.0,9053012.43,24100.0,328874.0,121568.0,1652979.0,4901.0
GUAVA,57494.0,531320.49,1432.0,11211.0,5404.0,45312.0,108.0
HORSERADISH ROOT,0.0,45698.0,0.0,264.0,0.0,1256.0,7.0
HUBBARD SQUASHES,196145.0,3279007.0,4183.0,54012.0,133856.0,1728384.0,1414.0
JUICE,15163.19,369284.5,197.0,15714.0,912.0,20772.0,7354.0
KALE,11923.0,91610.25,825.0,8205.0,1395.0,9073.0,917.0
KARELA,2890.0,58754.89,75.0,1281.0,152.0,3496.0,187.0
KIWIFRUIT,39190.0,1257776.35,242.0,5056.0,2224.0,43254.0,2272.0
KOHLRABI,2040.0,14070.0,17.0,118.0,204.0,1416.0,0.0
KUMQUAT,2520.0,23210.0,63.0,545.0,189.0,1635.0,183.0
LEEKS,11100.0,285052.0,139.0,4227.0,686.0,21880.0,10.0
LEMON GRASS,320.0,3261.0,17.0,219.0,3.0,44.0,57.0
LEMONS,196261.0,5502359.82,2030.0,65522.0,24279.0,741050.0,30295.0
LETTUCE,643192.0,8832862.5,12332.0,162299.0,67247.0,884613.0,1654.0
LETTUCE LIVING,6110.0,41600.0,92.0,861.0,322.0,3014.0,678.0
LIMES,9225.0,327835.56,418.0,13692.0,1322.0,43374.0,5025.0
LIQUIDS,682.0,4464.0,11.0,72.0,132.0,864.0,236.0
MAIZE MEAL,0.0,1490.0,0.0,15.0,0.0,375.0,59.0
MANGO,398714.9,9099021.5,9388.0,239805.0,34384.0,777874.0,36556.0
MARROWS,49810.0,119683.0,327.0,1911.0,1316.0,9202.0,2.0
MELONS,18575.0,937179.0,376.0,15039.0,2632.0,105273.0,726.0
MICRO HERBS,400.0,5360.0,20.0,273.0,4.0,55.0,0.0
MINT,1850.0,11555.0,50.0,293.0,102.0,746.0,0.0
MITJI BUDGIE,1460.0,37432.0,25.0,807.0,75.0,2477.0,18.0
MIXED,6840.0,39772.0,60.0,350.0,168.0,980.0,0.0
MUSHROOMS,68531.0,973505.0,273.0,3823.0,1013.0,14423.0,302.0
MUSK MELONS,95248.0,2647954.68,2003.0,47970.0,14384.0,349277.0,3507.0
MUSTARD LEAVE,2.0,107.0,1.0,28.0,0.0,3.0,2.0
NAARTJIES,4209.0,13429.0,231.0,693.0,557.0,1606.0,607.0
NECTARINES,560878.0,10613674.0,11683.0,180933.0,41618.0,730411.0,14490.0
NOVA,270.0,7880.0,9.0,117.0,90.0,1170.0,894.0
OKRA,77788.99,1247445.83,4082.0,63861.0,8221.0,133671.0,5786.0
ONIONS,4156953.0,87049461.0,112228.0,2117112.0,1014070.0,19068486.0,181562.0
ORANGE PEPPERS,180.0,30940.0,2.0,332.0,10.0,1660.0,1.0
ORANGES,540440.0,7424229.5,18001.0,167781.0,116954.0,1191104.0,98925.0
OREGANO,540.0,4340.0,20.0,163.0,2.0,16.0,0.0
PAMPALMOESE,35055.0,343404.0,430.0,7686.0,5375.0,57968.0,2763.0
PAPINO,304412.0,3243851.0,2207.0,44555.0,11509.0,207968.0,1301.0
PAPRI,320.0,870.0,4.0,12.0,12.0,36.0,0.0
PAPRIKA,25055.0,404447.0,420.0,5976.0,1160.0,17866.0,277.0
PARSLEY,13173.0,253136.42,241.0,4345.0,708.0,12533.0,44.0
PARSNIP,1090.0,82798.0,10.0,475.0,149.0,5724.0,0.0
PATTY PANS,146560.0,1711769.0,576.0,10909.0,3137.0,53843.0,177.0
PEACHES,99611.0,2830849.9,2931.0,61476.0,9038.0,208658.0,13742.0
PEACHES,172678.0,5653144.0,5758.0,125060.0,15608.0,417733.0,3883.0
PEANUTS RAW / UNSHELLED,0.0,240.0,0.0,2.0,0.0,4.0,15.0
PEARS,406262.0,9194381.11,7530.0,155115.0,78454.0,1614005.0,30330.0
PEAS,20336.0,436281.0,74.0,2611.0,248.0,7081.0,2.0
PECAN NUT (SHELL),280.0,62810.0,1.0,222.0,4.0,885.0,364.0
PICKLED,0.0,523.0,0.0,12.0,0.0,15.0,563.0
PINEAPPLES,265945.0,5771501.0,7541.0,128698.0,59920.0,990796.0,0.0
PIQUANT PEPPERS (PEPPER DEW),60.0,335.0,4.0,26.0,12.0,78.0,30.0
PKS BLUE QUEEN,85710.0,1817276.0,2174.0,45207.0,76090.0,1582245.0,6048.0
PLUMS,489318.0,12131394.7,11384.0,280739.0,68532.0,1752951.0,35199.0
POMEGRANATE,24721.0,647674.4,455.0,10462.0,1755.0,40249.0,6669.0
POT PLANTS,2620.0,73505.0,20.0,554.0,120.0,3323.0,39.0
POTATOES,10574576.0,129077736.0,228135.0,3663387.0,2235475.0,35693003.0,20166.0
PRICKLY PEAR,17346.0,591441.0,562.0,19309.0,1124.0,38618.0,0.0
PRUNES,950.0,283821.0,95.0,3630.0,475.0,16855.0,1333.0
PUMPKINS,34138.0,905791.0,878.0,22995.0,29852.0,781830.0,939.0
PUMPKINS GOURMET GLOBE,0.0,810.0,0.0,135.0,0.0,675.0,205.0
QUINCE,4165.0,24345.0,92.0,568.0,368.0,2272.0,444.0
RADICCHIO,900.0,5250.0,60.0,370.0,12.0,74.0,0.0
RADISH,6468.0,97731.0,94.0,1302.0,312.0,4280.0,13.0
RAINBOW PEPPERS,37989.0,991384.0,453.0,9784.0,1989.0,34142.0,386.0
RAMANESCO,748.0,2008.0,7.0,20.0,21.0,53.0,1.0
RASPBERRIES,24580.0,421374.0,218.0,3577.0,260.0,4295.0,113.0
RED LETTUCE,850.0,5555.0,10.0,66.0,50.0,330.0,0.0
RED PEPPERS,393376.0,5485412.74,4881.0,71281.0,25121.0,361938.0,2244.0
