Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,1630.0,58480.0,10.0,456.0,164.0,3756.0,58.0,20180425
APPLES,1116281.16,29996806.2,2517.0,339769.0,131840.0,4138971.0,140144.0,20180425
ASPARAGUS,2350.0,317938.0,9.0,597.0,36.0,2392.0,55.0,20180425
ATCHARA,0.0,1267.1,0.0,52.0,0.0,52.0,16.0,20180425
AVOCADOS,502123.0,9796480.1,9389.0,158109.0,59404.0,1165006.0,36986.0,20180425
BABY BRINJALS,1694.61,52347.61,50.0,1377.0,134.0,4556.0,157.0,20180425
BABY BUTTERNUT,5894.0,187799.0,88.0,1839.0,377.0,7940.0,64.0,20180425
BABY CABBAGE,5146.0,268115.0,55.0,3017.0,194.0,10577.0,59.0,20180425
BABY CARROTS,21822.0,402843.0,110.0,2115.0,765.0,10239.0,133.0,20180425
BABY ENGLISH CUCUMBER,120.0,38060.0,2.0,1191.0,16.0,9528.0,171.0,20180425
BABY GEM SQUASH,11524.0,257572.0,57.0,1685.0,487.0,9913.0,33.0,20180425
BABY LEAF,2856.0,32562.0,28.0,324.0,28.0,324.0,48.0,20180425
BABY MARROWS,86941.0,3081844.0,1714.0,40564.0,8063.0,190080.0,4060.0,20180425
BABY MIX,1664.0,35467.0,12.0,343.0,47.0,1773.0,1.0,20180425
BABY SWEET CORN,21462.0,654695.0,179.0,3167.0,931.0,13928.0,569.0,20180425
BANANAS,1086670.0,35396027.9,10103.0,281799.0,177876.0,4893153.0,66107.0,20180425
BAY LEAVES,0.0,514.0,0.0,21.0,0.0,4.0,10.0,20180425
BEAN SPROUTS,1236.0,28867.0,21.0,503.0,58.0,1177.0,36.0,20180425
BEANS,93739.0,2937530.48,3061.0,97509.0,12250.0,399740.0,1730.0,20180425
BEANS INDIAN,0.0,6950.0,0.0,250.0,0.0,680.0,21.0,20180425
BEETROOT,149094.0,4029109.0,9952.0,220932.0,71390.0,1796830.0,33261.0,20180425
BLACKBERRIES,6480.0,47976.0,32.0,224.0,48.0,336.0,32.0,20180425
BRINJALS,25313.0,845678.0,716.0,18864.0,3238.0,84117.0,1213.0,20180425
BROCCOLI,178660.0,3701077.0,1651.0,24618.0,4402.0,71458.0,1064.0,20180425
BROCCOLI LEAVES,1830.0,20110.0,43.0,495.0,344.0,3960.0,7.0,20180425
BRUSSELS SPROUTS,800.0,60800.0,2.0,152.0,8.0,608.0,5.0,20180425
BUTTER LETTUCE,5320.0,66918.0,73.0,994.0,113.0,3430.0,14.0,20180425
BUTTERNUT,365882.0,6112345.0,21222.0,331754.0,177827.0,2758023.0,36082.0,20180425
CABBAGE,137824.0,4743827.9,7503.0,235944.0,98557.0,2753949.0,16427.0,20180425
CABBAGE RED,24168.0,612309.0,260.0,6074.0,1543.0,38370.0,375.0,20180425
CALABASH,840.0,25528.0,24.0,519.0,72.0,1996.0,7.0,20180425
CARROTS,445654.0,16095205.7,18003.0,535842.0,148451.0,4206481.0,30351.0,20180425
CAULI/BROC,15020.0,187570.0,123.0,1290.0,372.0,4534.0,78.0,20180425
CAULIFLOWER,77317.0,2706413.5,1670.0,30063.0,4971.0,143007.0,2598.0,20180425
CELERY,-420.0,73969.0,22.0,670.0,252.0,6696.0,68.0,20180425
CHILLIES,77028.0,1902402.24,3808.0,86021.0,12337.0,273656.0,17853.0,20180425
CHINESE  VEGETABLES,8027.0,282567.81,233.0,12515.0,1444.0,33080.0,1209.0,20180425
CHIVES,90.0,5343.0,4.0,234.0,1.0,30.0,27.0,20180425
CHORIE,0.0,4060.0,0.0,124.0,0.0,620.0,6.0,20180425
CLEMENTINES,14552.0,618313.0,717.0,33057.0,1634.0,77562.0,23989.0,20180425
COCKTAIL TOMATOES,1836.0,79154.5,42.0,1163.0,215.0,5456.0,192.0,20180425
COCONUTS,12000.0,235685.0,34.0,642.0,1650.0,31200.0,329.0,20180425
CORIANDER/DHANYA,655.0,2705.0,26.0,114.0,5.0,23.0,16.0,20180425
CROUTONS,0.0,3977.0,0.0,205.0,0.0,17.0,419.0,20180425
CRUSHED GINGER/GARLIC,0.0,25856.4,0.0,113.0,0.0,520.0,79.0,20180425
CUCUMBER,1655.0,36107.0,44.0,820.0,212.0,4052.0,17.0,20180425
CURRY LEAVES,850.0,29865.0,40.0,1348.0,6.0,260.0,162.0,20180425
DATES,580.0,34808.0,2.0,94.0,16.0,635.0,301.0,20180425
DHANYA,22119.0,573409.0,334.0,7150.0,997.0,21958.0,382.0,20180425
